date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:57	10572/10572	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Jun%202025%2005:02:53%20GMT	http://team55.local/robots.txt		(from )
14:02:57	67778/67778	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jun%202025%2005:02:56%20GMT	http://team55.local/	C:/My%20Web%20Sites/team55/team55.local/index.html	(from )
14:03:01	780/780	---MCZ	200	added ('OK')	text/xml	date:Mon,%2023%20Jun%202025%2005:02:57%20GMT	http://team55.local/xmlrpc.php?rsd	C:/My%20Web%20Sites/team55/team55.local/xmlrpc0db0.php	(from http://team55.local/)
14:03:19	279959/279959	---MCZ	200	added ('OK')	application/json	date:Mon,%2023%20Jun%202025%2005:03:10%20GMT	http://team55.local/wp-json/	C:/My%20Web%20Sites/team55/team55.local/wp-json/index.html	(from http://team55.local/)
14:03:30	146060/146060	---M--	200	added ('OK')	application/font-woff2	etag:%226812d420-23a8c%22	http://team55.local/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2	C:/My%20Web%20Sites/team55/team55.local/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2	(from http://team55.local/)
14:03:34	326628/326628	---M--	200	added ('OK')	application/font-woff2	etag:%226812d420-4fbe4%22	http://team55.local/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	C:/My%20Web%20Sites/team55/team55.local/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	(from http://team55.local/)
14:03:34	105184/105184	---M--	200	added ('OK')	application/font-woff2	etag:%226812d420-19ae0%22	http://team55.local/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2	C:/My%20Web%20Sites/team55/team55.local/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2	(from http://team55.local/)
14:03:44	41665/41665	---M--	200	added ('OK')	image/png	etag:%22682829f7-a2c1%22	http://team55.local/wp-content/uploads/2025/05/%e3%82%b9%e3%82%af%e3%83%aa%e3%83%bc%e3%83%b3%e3%82%b7%e3%83%a7%e3%83%83%e3%83%88-2025-05-17-151701-11111.png	C:/My%20Web%20Sites/team55/team55.local/wp-content/uploads/2025/05/%e3%82%b9%e3%82%af%e3%83%aa%e3%83%bc%e3%83%b3%e3%82%b7%e3%83%a7%e3%83%83%e3%83%88-2025-05-17-151701-11111.png	(from http://team55.local/)
14:03:48	42359/42359	---M--	200	added ('OK')	image/png	etag:%2268282a26-a577%22	http://team55.local/wp-content/uploads/2025/05/%e3%82%b9%e3%82%af%e3%83%aa%e3%83%bc%e3%83%b3%e3%82%b7%e3%83%a7%e3%83%83%e3%83%88-2025-05-17-151736-2222.png	C:/My%20Web%20Sites/team55/team55.local/wp-content/uploads/2025/05/%e3%82%b9%e3%82%af%e3%83%aa%e3%83%bc%e3%83%b3%e3%82%b7%e3%83%a7%e3%83%83%e3%83%88-2025-05-17-151736-2222.png	(from http://team55.local/)
14:04:01	222208/222208	---M--	200	added ('OK')	image/png	etag:%22682836cb-36400%22	http://team55.local/wp-content/uploads/2025/05/%e3%82%b9%e3%82%af%e3%83%aa%e3%83%bc%e3%83%b3%e3%82%b7%e3%83%a7%e3%83%83%e3%83%88-2025-05-17-145542-2.png	C:/My%20Web%20Sites/team55/team55.local/wp-content/uploads/2025/05/%e3%82%b9%e3%82%af%e3%83%aa%e3%83%bc%e3%83%b3%e3%82%b7%e3%83%a7%e3%83%83%e3%83%88-2025-05-17-145542-2.png	(from http://team55.local/)
